Word,Furigana,Definition,Japanese sentence,English translation
する,する,"do, make",友達と一緒に宿題をした。,I did my homework with a friend.
言う,いう,"say, tell",上司が「一杯、飲もう。」と言った。,"My boss said: ""Let's have a drink."""
事,こと,"thing, incident",そんな事をしてはいけません。,Do not do such a thing.
無い,ない,to not be,ここには何も無い。,There's nothing here.
居る,いる,be present,今日は一日中家に居ました。,I was at home all day today.
なる,なる,become,彼は医者になりました。,He became a doctor.
有る,ある,"exist, possess",私の机の上に書類がたくさん有ります。,There are a lot of documents on my desk.
それ,それ,"that, that one",それはとってもいい話だ。,That's a really nice story.
よう,よう,"way, like, kind",彼女は眠いようです。,It looks like she's sleepy.
そう,そう,"in such manner, that way",私もそう思います。,That's what I think too.
俺,おれ,"I, me",俺の頼みを聞いてくれ。,Do me a favor.
来る,くる,come,彼は昼過ぎに来ます。,He'll come after lunch.
良い,よい,"good, suitable, preferable",彼は良いところだけを強調した。,He only emphasized the strong points.
何,なに,"what, which",夕食には何を食べたいですか。,What would you like for supper?
思う,おもう,think,私もそう思います。,I think so too.
行く,いく,go,日曜日は図書館に行きます。,I go to the library on Sundays.
見る,みる,"see, look at",私は絵を見るのが好きです。,I like looking at pictures.
物,もの,"thing, object",彼女の家には物がたくさんあります。,There are a lot of things in her house.
これ,これ,"this, this one",これをください。,I'll have this please.
私,わたし,I,私が行きましょう。,Why don't I go.
どう,どう,"how, what",あなたはどう思いますか。,What do you think?
出来る,できる,"can do, be good at",彼女はイタリア語が出来ます。,She knows Italian.
分かる,わかる,understand,質問の意味は分かりましたか。,Did you understand the meaning of the question?
一,いち,one,一から始めましょう。,Let's start from the beginning.
時,とき,time,時の経つのは早い。,Time passes by quickly.
人,ひと,person,彼は優しい人です。,He's a nice guy.
やる,やる,do,一緒に宿題をやろう。,Let's do our homework together.
やる,やる,give (to an inferior),犬にえさをやった。,I fed the dog.
今,いま,now,彼は今、勉強しています。,He's studying now.
中,なか,"inside, middle",財布は引き出しの中にあります。,My purse is in the drawer.
自分,じぶん,"self, oneself",宿題は自分でやりなさい。,Do your homework by yourself.
もう,もう,"already, yet",彼はもう帰りました。,He's already gone home.
もう,もう,"another, again",コーヒーをもう一杯ください。,Please give me another cup of coffee.
気,き,"spirit, temperament",彼は意外に気が小さい。,He's unexpectedly timid.
手,て,hand,分かった人は手を上げてください。,Please raise your hand if you understand.
目,め,eye,彼女は青い目をしています。,She has blue eyes.
ここ,ここ,here,ここに本があります。,There's a book here.
聞く,きく,"hear, ask",彼女はラジオを聞いています。,She's listening to the radio.
効く,きく,be effective,この薬はあまりよく効かないよ。,This medicine doesn't work very well.
ため,ため,"sake, purpose",これは医者のためのサイトです。,This is a site for doctors.
ところ,ところ,place,私は友達のところに泊まった。,I stayed at my friend's place for the night.
前,まえ,"front, before",その店の前で会いましょう。,Let's meet in front of the shop.
顔,かお,face,彼はタオルで顔を拭きました。,He wiped his face with a towel.
方,ほう,"direction, side",彼は私の方を見ました。,He looked at me.
訳,わけ,"reason, cause",そんな訳で、私は仕事を辞めました。,I quit my job for that reason.
くれる,くれる,be given,友達が誕生日プレゼントをくれた。,My friend gave me a birthday present.
出る,でる,"go out, leave",今朝は早く家を出ました。,I left the house early this morning.
僕,ぼく,I (young male),僕は学生です。,I'm a student.
考える,かんがえる,"think, consider",よく考えてください。,Please think carefully.
知る,しる,know,誰もその話を知らない。,No one knows that story.
話,はなし,"talk, story",あなたの話は面白いね。,Your story's interesting.
しまう,しまう,to do accidentally or unintentionally,まさか　ヤトさんに間違い電話してしまうなんて,"Unfortunately, I accidentally called Yato instead."
持つ,もつ,"have, possess",私は車を持っています。,I have a car.
まま,まま,"as is, still (in the current state)",電気がついたままですよ。,The light is still on.
そこ,そこ,there,そこに座ってください。,Please sit there.
声,こえ,"voice, sound",彼は大きな声で話した。,He spoke loudly.
後,あと,after,仕事の後、映画を見た。,I saw a movie after work.
二,に,two,その人には二回会った。,I met that person twice.
少し,すこし,"a bit, a little while",少し疲れました。,I'm a little tired.
彼女,かのじょ,"she, one's girlfriend",彼女はOLです。,She's an office worker.
言葉,ことば,"word, language",この言葉の意味が分かりません。,I don't understand the meaning of this word.
入る,はいる,enter,寒いので中に入ってください。,It's cold so please come inside.
本当,ほんとう,"truth, reality",その話は本当ですか。,Is the story true?
まあ,まあ,well,まあこれでいいだろう。,"Well, this will do I suppose."
いつ,いつ,when,彼女はいつ来ますか。,When is she coming?
ちょっと,ちょっと,"just a moment, just a little, easily",もうちょっと塩を入れて。,Put in a little more salt.
出す,だす,take out,彼はかばんから教科書を出した。,He took the textbook out of his bag.
二人,ふたり,two persons,今日は妻と二人で食事をします。,"Today I'm having dinner with my wife, just the two of us."
使う,つかう,use,このパソコンを使ってください。,Please use this computer.
取る,とる,"take, get",テストでいい点を取った。,I got a good grade on the test.
撮る,とる,"photograph, shoot, film",写真をたくさん撮りました。,I took a lot of photographs.
採る,とる,"gather, pick",この山ではきのこが採れますよ,You can collect mushrooms on this mountain.
誰,だれ,"who, whom",誰と会ってみたいですか。,Who would you like to meet one day?
置く,おく,"put, leave",彼はかばんをいすの上に置きました。,He put the bag on the chair.
あなた,あなた,you,この本、あなたにあげます。,I'll give you this book.
上げる,あげる,"raise, improve",彼は荷物をあみだなに上げた。,He put the luggage on the luggage rack.
あげる,あげる,give,この本、あなたにあげます。,I'll give you this book.
思わず,おもわず,"unintentionally, unconsciously",嬉しくて思わず涙が出ました。,I was so happy that I suddenly burst into tears.
三,さん,three,彼女は三人の子供の母親だ。,She's the mother of three children.
未だ,まだ,"yet, more",宿題は未だ終わっていません。,I haven't finished my homework yet.
こう,こう,"like this, this kind of",こう小さい字は読めない。,I can't read such small letters.
お前,おまえ,"you, darling",お前の言うことは信じられない。,I can't believe what you say.
彼,かれ,"he, one's boyfriend",彼は私の上司です。,He's my senior.
体,からだ,"body, health",私は体が丈夫だ。,I'm physically strong.
時間,じかん,"time, hour",今は時間がありません。,I don't have time now.
どこ,どこ,where,あの本をどこに置きましたか。,Where did you put that book?
掛ける,かける,"hang, put on",夫の服をハンガーに掛けた。,I put my husband's clothes on a hanger.
賭ける,かける,"bet, stake",彼は新しい仕事に人生を賭けている。,He stakes his fortune on this new job.
作る,つくる,"make, create",今、朝ご飯を作っています。,I'm making breakfast now.
見える,みえる,be visible,ここから富士山がよく見えます。,You can see Mount Fuji well from here.
